,date,region,prediction_confirmed,prediction_deaths
0,2020-04-27,RU-ALT,272.6768493652344,1.5786998271942139
1,2020-04-28,RU-ALT,296.5977478027344,2.0315940380096436
2,2020-04-29,RU-ALT,313.7845153808594,2.1065547466278076
3,2020-04-30,RU-ALT,318.4582214355469,2.3751628398895264
4,2020-05-01,RU-ALT,334.0518493652344,2.492161512374878
5,2020-05-02,RU-ALT,364.8227233886719,2.896202802658081
6,2020-05-03,RU-ALT,395.6557312011719,3.2822864055633545
7,2020-05-04,RU-ALT,425.6628112792969,3.768048048019409
8,2020-05-05,RU-ALT,456.5304870605469,4.374298572540283
9,2020-05-06,RU-ALT,489.3571472167969,4.96416711807251
10,2020-05-07,RU-ALT,525.30029296875,5.58842134475708
11,2020-05-08,RU-ALT,564.52587890625,6.300486087799072
12,2020-05-09,RU-ALT,606.22705078125,7.104763507843018
13,2020-05-10,RU-ALT,650.504150390625,8.030449867248535
14,2020-05-11,RU-ALT,697.710205078125,9.08063793182373
15,2020-05-12,RU-ALT,748.52392578125,10.284031867980957
16,2020-05-13,RU-ALT,803.1396484375,11.591141700744629
17,2020-05-14,RU-ALT,861.903076171875,13.014863014221191
18,2020-05-15,RU-ALT,924.956787109375,14.575535774230957
19,2020-05-16,RU-ALT,992.528076171875,16.256710052490234
20,2020-05-17,RU-ALT,1065.014404296875,18.10617446899414
21,2020-05-18,RU-ALT,1142.821044921875,20.13965606689453
22,2020-05-19,RU-ALT,1226.342529296875,22.37392807006836
23,2020-05-20,RU-ALT,1315.973388671875,24.858043670654297
24,2020-05-21,RU-ALT,1412.153564453125,27.613269805908203
25,2020-05-22,RU-ALT,1515.328857421875,30.674419403076172
26,2020-05-23,RU-ALT,1626.049560546875,34.094905853271484
27,2020-05-24,RU-ALT,1744.864013671875,37.907894134521484
28,2020-05-25,RU-ALT,1872.359130859375,42.16287612915039
29,2020-05-26,RU-ALT,2009.182373046875,46.917903900146484
30,2020-05-27,RU-ALT,2155.990966796875,52.218746185302734
31,2020-05-28,RU-ALT,2313.535888671875,58.13056564331055
32,2020-05-29,RU-ALT,2482.590576171875,64.7266845703125
33,2020-05-30,RU-ALT,2663.972412109375,72.07638549804688
34,2020-05-31,RU-ALT,2858.623779296875,80.26277160644531
35,2020-06-01,RU-ALT,3067.506591796875,89.38427734375
36,2020-06-02,RU-ALT,3291.656005859375,99.54000854492188
37,2020-06-03,RU-ALT,3532.156005859375,110.84786987304688
38,2020-06-04,RU-ALT,3790.261474609375,123.4395751953125
39,2020-06-05,RU-ALT,4067.202880859375,137.45553588867188
40,2020-06-06,RU-ALT,4364.38623046875,153.047607421875
41,2020-06-07,RU-ALT,4683.28076171875,170.392333984375
42,2020-06-08,RU-ALT,5025.45654296875,189.6898193359375
43,2020-06-09,RU-ALT,5392.67724609375,211.191650390625
44,2020-06-10,RU-ALT,5786.66943359375,235.10400390625
45,2020-06-11,RU-ALT,6209.51318359375,261.62139892578125
