,date,region,prediction_confirmed,prediction_deaths
0,2020-04-27,RU-ALT,-416.99786376953125,-23.42289161682129
1,2020-04-28,RU-ALT,30.949193954467773,-39.8183479309082
2,2020-04-29,RU-ALT,-4045.553955078125,-12.691646575927734
3,2020-04-30,RU-ALT,-4509.99560546875,-1.125211477279663
4,2020-05-01,RU-ALT,-4613.189453125,-41.06636047363281
5,2020-05-02,RU-ALT,-8849.85546875,-26.949735641479492
6,2020-05-03,RU-ALT,-4706.73779296875,4.3289666175842285
7,2020-05-04,RU-ALT,-9481.7568359375,-25.98938751220703
8,2020-05-05,RU-ALT,-14227.7099609375,43.42384719848633
9,2020-05-06,RU-ALT,-27452.65625,-128.8406219482422
10,2020-05-07,RU-ALT,-26722.052734375,-115.22708129882812
11,2020-05-08,RU-ALT,-54107.83203125,-101.53882598876953
12,2020-05-09,RU-ALT,-101990.609375,104.97447204589844
13,2020-05-10,RU-ALT,-225056.640625,-69.98674011230469
14,2020-05-11,RU-ALT,-246410.421875,-58.344085693359375
15,2020-05-12,RU-ALT,-367545.21875,-78.53124237060547
16,2020-05-13,RU-ALT,-388779.15625,-191.27525329589844
17,2020-05-14,RU-ALT,-110251.515625,-188.7539825439453
18,2020-05-15,RU-ALT,-564057.5,-188.50674438476562
19,2020-05-16,RU-ALT,-1040829.375,-173.8336944580078
20,2020-05-17,RU-ALT,-2193642.25,-150.18064880371094
21,2020-05-18,RU-ALT,-3900770.5,-417.4142150878906
22,2020-05-19,RU-ALT,-3633491.75,-302.1270751953125
23,2020-05-20,RU-ALT,-4382131.5,-36.63444519042969
24,2020-05-21,RU-ALT,-4229284.0,-874.2113037109375
25,2020-05-22,RU-ALT,-6422795.5,-694.6055908203125
26,2020-05-23,RU-ALT,-5440095.5,-1025.9703369140625
27,2020-05-24,RU-ALT,-2801910.25,-493.74273681640625
28,2020-05-25,RU-ALT,-19690086.0,-205.9525146484375
29,2020-05-26,RU-ALT,-18436728.0,-1005.5332641601562
30,2020-05-27,RU-ALT,-43912368.0,-2099.999755859375
31,2020-05-28,RU-ALT,-27491284.0,617.1859741210938
32,2020-05-29,RU-ALT,-71931736.0,350.56707763671875
33,2020-05-30,RU-ALT,-134163200.0,-1411.44482421875
34,2020-05-31,RU-ALT,-88021736.0,-2765.227783203125
35,2020-06-01,RU-ALT,-264683360.0,-3450.83935546875
36,2020-06-02,RU-ALT,-501283552.0,-7315.03662109375
37,2020-06-03,RU-ALT,-699664576.0,-5547.55615234375
38,2020-06-04,RU-ALT,-157156752.0,-8675.71875
39,2020-06-05,RU-ALT,-941193408.0,-5794.458984375
40,2020-06-06,RU-ALT,-1107057536.0,-4078.62548828125
41,2020-06-07,RU-ALT,-2002745984.0,-23259.775390625
42,2020-06-08,RU-ALT,-927491200.0,5176.5908203125
43,2020-06-09,RU-ALT,-2498168576.0,-18553.07421875
44,2020-06-10,RU-ALT,-6318270464.0,-12721.5517578125
